date,open,high,low,close,volume,Name,range,jaredpolis Vader Sentiment Score
2017-04-03,231.395,231.6207,229.5403,230.9338,85546486,SPY,2.0803999999999974,0.26335
2017-03-31,231.4931,232.0917,231.2773,231.3361,73733094,SPY,0.8144000000000062,0.0129
2017-03-30,231.0712,232.1016,230.8749,231.8759,56737890,SPY,1.226699999999994,0.61155
2017-03-29,230.6001,231.4048,230.3401,231.1399,61950354,SPY,1.0646999999999878,0.05006666666666667
2017-03-28,228.9123,231.4048,228.7847,230.924,93483915,SPY,2.620100000000008,0.30832
2017-03-27,227.5973,229.5501,227.2833,229.2557,87454452,SPY,2.2667999999999893,0.0
2017-03-24,230.0015,230.6492,228.6081,229.4913,112504853,SPY,2.0411,0.06763333333333334
2017-03-23,229.6286,230.9436,229.2361,229.6581,100410277,SPY,1.7075000000000102,0.31845
2017-03-22,229.4029,230.2272,228.6964,229.9034,97569204,SPY,1.5307999999999993,-0.1589
2017-03-21,233.0338,233.1712,229.2165,229.3637,131809275,SPY,3.9547000000000025,0.10115
2017-03-16,233.6267,233.7146,232.6399,233.0112,78343951,SPY,1.0746999999999787,0.45249999999999996
2017-03-15,232.1122,233.9491,231.8484,233.4704,96081750,SPY,2.100699999999989,0.5000333333333333
2017-03-14,231.741,231.7996,230.7737,231.4674,59880778,SPY,1.0259000000000071,-0.09849999999999999
2017-03-13,232.1709,232.4054,231.7996,232.3565,57256824,SPY,0.6057999999999879,0.14173333333333335
2017-03-09,231.272,231.7996,230.334,231.4283,90683918,SPY,1.465599999999995,0.17926666666666669
2017-03-08,231.8973,232.1904,230.9788,231.1352,78168795,SPY,1.2116000000000042,0.105375
2017-03-07,231.9168,232.3174,231.3306,231.5651,65103737,SPY,0.9867999999999881,-0.26335
2017-03-06,232.0536,232.6594,231.5749,232.2588,55391533,SPY,1.0844999999999914,0.0
2017-03-03,232.7083,233.1382,232.2784,232.9525,81974300,SPY,0.859800000000007,0.006700000000000002
2017-03-02,234.0664,234.0762,232.7473,232.806,70245978,SPY,1.3289000000000044,-0.08895
2017-03-01,232.9232,234.809,232.9037,234.2813,149158170,SPY,1.905300000000011,0.1449375
2017-02-28,231.2427,231.5162,230.6027,231.0472,96961938,SPY,0.9134999999999991,0.07529999999999999
2017-02-27,231.2133,231.868,230.93,231.6726,56515440,SPY,0.9379999999999882,0.8847
2017-02-24,230.0604,231.363,230.0116,231.3111,82381612,SPY,1.3514000000000124,-0.743
2017-02-23,231.4478,231.4674,230.1581,231.0179,74615902,SPY,1.3093000000000075,0.23204999999999998
2017-02-22,230.6076,231.1156,230.4219,230.8616,62115185,SPY,0.6937000000000069,0.0
2017-02-17,228.585,229.6989,228.5655,229.6989,77204104,SPY,1.133400000000023,0.07696666666666668
2017-02-15,228.0965,229.7477,228.0379,229.5328,86785826,SPY,1.7098000000000013,0.09917999999999998
2017-02-14,227.2269,228.3505,226.8361,228.3408,71108983,SPY,1.5144000000000233,-0.2114
2017-02-13,226.7579,227.7252,226.7286,227.4321,55182050,SPY,0.9966000000000008,0.02333333333333333
2017-02-10,225.7027,226.455,225.333,226.201,66015892,SPY,1.122000000000014,0.0
2017-02-09,224.2957,225.6538,224.2566,225.3119,65955245,SPY,1.397199999999998,0.040554545454545475
2017-02-08,223.3675,224.1296,223.0744,223.983,51566218,SPY,1.0552000000000135,0.19838
2017-02-07,224.1198,224.3891,223.475,223.6899,57931151,SPY,0.914100000000019,0.009574999999999986
2017-02-06,223.6215,224.0671,223.2991,223.6802,57790108,SPY,0.7680000000000007,0.275875
2017-02-02,221.9898,222.8692,221.6185,222.5468,69657560,SPY,1.2506999999999948,0.07171999999999998
2017-01-31,221.7749,222.3807,221.13,222.3123,75880805,SPY,1.2506999999999948,0.11419999999999998
2017-01-30,222.9376,222.9669,221.2179,222.3318,79737252,SPY,1.7490000000000236,0.34552
